user,time,gt,pred,pred_label
85.0,0.0022607797291129827,0.6666666865348816,-0.3964047133922577,0.0
41.0,0.0024391256738454103,0.0,-0.3964047133922577,0.0
5.0,0.002737046219408512,1.0,-0.3964047133922577,0.0
101.0,0.002873110119253397,0.3333333432674408,-0.3964047133922577,0.0
1.0,0.003317279042676091,0.3333333432674408,-0.3964047133922577,0.0
56.0,0.0033687676768749952,1.0,-0.3964047133922577,0.0
127.0,0.00346814701333642,1.0,-0.3964047133922577,0.0
70.0,0.0035933086182922125,0.0,-0.3964047133922577,0.0
268.0,0.003901761956512928,1.0,-0.3964047133922577,0.0
27.0,0.00412295525893569,1.0,-0.3964047133922577,0.0
240.0,0.004228019155561924,0.0,-0.3964047133922577,0.0
30.0,0.004360387101769447,0.3333333432674408,-0.3964047133922577,0.0
70.0,0.004612601827830076,0.0,-0.3964047133922577,0.0
30.0,0.005191595759242773,0.0,-0.3964047133922577,0.0
7.0,0.0052100843749940395,1.0,-0.3964047133922577,0.0
61.0,0.005417419131845236,0.0,-0.3964047133922577,0.0
104.0,0.005939272232353687,0.0,-0.3964047133922577,0.0
26.0,0.0060273692943155766,0.0,-0.3964047133922577,0.0
33.0,0.006162889301776886,0.0,-0.3964047133922577,0.0
217.0,0.006272562313824892,0.0,-0.3964047133922577,0.0
60.0,0.006277409847825766,0.6666666865348816,-0.3964047133922577,0.0
64.0,0.006477625109255314,0.6666666865348816,-0.3964047133922577,0.0
96.0,0.006552580744028091,0.0,-0.3964047133922577,0.0
5.0,0.007053445093333721,0.0,-0.3964047133922577,0.0
52.0,0.007560330908745527,0.3333333432674408,-0.3964047133922577,0.0
203.0,0.007828055880963802,0.3333333432674408,-0.3964047133922577,0.0
8.0,0.008655666373670101,0.0,-0.3964047133922577,0.0
277.0,0.008796392939984798,0.6666666865348816,-0.3964047133922577,0.0
22.0,0.009063542820513248,0.0,-0.3964047133922577,0.0
8.0,0.009183921851217747,0.3333333432674408,-0.3964047133922577,0.0
165.0,0.009342213161289692,0.6666666865348816,-0.3964047133922577,0.0
85.0,0.009620895609259605,0.3333333432674408,-0.3964047133922577,0.0
85.0,0.009625819511711597,0.3333333432674408,-0.3964047133922577,0.0
85.0,0.009636471047997475,0.6666666865348816,-0.3964047133922577,0.0
85.0,0.009927022270858288,0.3333333432674408,-0.3964047133922577,0.0
80.0,0.010076477192342281,0.3333333432674408,-0.3964047133922577,0.0
4.0,0.010201931931078434,0.6666666865348816,-0.3964047133922577,0.0
70.0,0.010909326374530792,0.3333333432674408,-0.3964047133922577,0.0
96.0,0.011730687692761421,0.3333333432674408,-0.3964047133922577,0.0
209.0,0.011826305650174618,0.3333333432674408,-0.3964047133922577,0.0
22.0,0.012132477015256882,0.3333333432674408,-0.3964047133922577,0.0
80.0,0.012370669282972813,0.3333333432674408,-0.3964047133922577,0.0
134.0,0.012470527552068233,0.3333333432674408,-0.3964047133922577,0.0
30.0,0.012553374283015728,0.3333333432674408,-0.3964047133922577,0.0
57.0,0.012617764994502068,0.6666666865348816,-0.3964047133922577,0.0
52.0,0.01282958872616291,1.0,-0.3964047133922577,0.0
48.0,0.013136965222656727,0.0,-0.3964047133922577,0.0
8.0,0.013436049222946167,1.0,-0.3964047133922577,0.0
57.0,0.013581667095422745,0.3333333432674408,-0.3964047133922577,0.0
215.0,0.014210258610546589,1.0,-0.3964047133922577,0.0
82.0,0.014239649288356304,0.6666666865348816,-0.3964047133922577,0.0
27.0,0.014987912960350513,0.3333333432674408,-0.3964047133922577,0.0
58.0,0.015123248100280762,0.3333333432674408,-0.3964047133922577,0.0
81.0,0.015729688107967377,0.0,-0.3964047133922577,0.0
17.0,0.01586923934519291,0.0,-0.3964047133922577,0.0
158.0,0.015940945595502853,0.6666666865348816,-0.3964047133922577,0.0
244.0,0.01640632189810276,0.3333333432674408,-0.3964047133922577,0.0
244.0,0.016466299071907997,0.3333333432674408,-0.3964047133922577,0.0
85.0,0.01666867733001709,0.6666666865348816,-0.3964047133922577,0.0
85.0,0.016685068607330322,1.0,-0.3964047133922577,0.0
16.0,0.01674557849764824,0.6666666865348816,-0.3964047133922577,0.0
4.0,0.016814066097140312,0.3333333432674408,-0.3964047133922577,0.0
119.0,0.01688392460346222,0.3333333432674408,-0.3964047133922577,0.0
40.0,0.017204834148287773,0.6666666865348816,-0.3964047133922577,0.0
145.0,0.01737172342836857,0.3333333432674408,-0.3964047133922577,0.0
198.0,0.01740030013024807,0.3333333432674408,-0.3964047133922577,0.0
7.0,0.018181638792157173,0.3333333432674408,-0.3964047133922577,0.0
18.0,0.01825277879834175,0.3333333432674408,-0.3964047133922577,0.0
263.0,0.018276365473866463,0.6666666865348816,-0.3964047133922577,0.0
34.0,0.01847122237086296,0.3333333432674408,-0.3964047133922577,0.0
257.0,0.0185263529419899,0.3333333432674408,-0.3964047133922577,0.0
129.0,0.018637439236044884,0.3333333432674408,-0.3964047133922577,0.0
16.0,0.019167138263583183,0.6666666865348816,-0.3964047133922577,0.0
70.0,0.01934756152331829,0.6666666865348816,-0.3964047133922577,0.0
58.0,0.019349506124854088,0.3333333432674408,-0.3964047133922577,0.0
263.0,0.019443832337856293,0.3333333432674408,-0.3964047133922577,0.0
81.0,0.021414102986454964,0.6666666865348816,-0.3964047133922577,0.0
102.0,0.021683361381292343,0.3333333432674408,-0.3964047133922577,0.0
205.0,0.021815676242113113,0.0,-0.3964047133922577,0.0
50.0,0.021920131519436836,0.3333333432674408,-0.3964047133922577,0.0
297.0,0.02283964306116104,0.3333333432674408,-0.3964047133922577,0.0
211.0,0.02294270694255829,0.3333333432674408,-0.3964047133922577,0.0
22.0,0.023465419188141823,0.3333333432674408,-0.3964047133922577,0.0
113.0,0.02437620237469673,0.3333333432674408,-0.3964047133922577,0.0
1.0,0.02473687194287777,0.6666666865348816,-0.3964047133922577,0.0
273.0,0.024794697761535645,0.3333333432674408,-0.3964047133922577,0.0
70.0,0.02487330511212349,1.0,-0.3964047133922577,0.0
264.0,0.024952629581093788,1.0,-0.3964047133922577,0.0
253.0,0.024958044290542603,0.0,-0.3964047133922577,0.0
170.0,0.024992728605866432,0.0,-0.3964047133922577,0.0
24.0,0.025005390867590904,0.3333333432674408,-0.3964047133922577,0.0
186.0,0.025008009746670723,0.0,-0.3964047133922577,0.0
60.0,0.025029195472598076,0.0,-0.3964047133922577,0.0
226.0,0.025052694603800774,0.6666666865348816,-0.3964047133922577,0.0
167.0,0.025091128423810005,0.3333333432674408,-0.3964047133922577,0.0
226.0,0.025094063952565193,0.6666666865348816,-0.3964047133922577,0.0
41.0,0.025137150660157204,0.3333333432674408,-0.3964047133922577,0.0
